UNIQUE_ID,USER_ID,DOCUMENT_ID,PAGE_NO,GETEDITOR_VERSION,TOTAL_ANNOTATION,BROWSER_NAME_VERSION,DEVICE_NAME,CREATED_DATE,PROCESS_STAGE,ERROR_CODE,ERROR_DETAIL,ISSUE_ISBLANKPNG,BROWSER_VERSION,BROWSER_NAME
45A9F833-50F9-F1C33CEC-3860,F1C33CEC-3860-USERID001,04778C0E-ED53-DOC001,1,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-29 09:47:00,Passing Parameter,0,,1,118.0.0.0,Chrome
10D432FC-0748-73C71F14-2325,73C71F14-2325-USERID001,04778C0E-ED53-DOC001,1,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",Desktop,2023-10-29 09:54:00,Passing Parameter,0,,1,116.0.0.0,Chrome
29A71608-73CB-90A7F97B-4F8E,90A7F97B-4F8E-USERID003,FD48D86D-35AE-DOC003,3,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-29 22:19:00,Passing Parameter,0,,1,118.0.0.0,Chrome
002839EE-C103-AF2E40FC-47BE,AF2E40FC-47BE-USERID003,FD48D86D-35AE-DOC003,3,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-30 00:11:00,Passing Parameter,0,,1,118.0.0.0,Chrome
983EBB83-D6E1-164E1194-547F,164E1194-547F-USERID001,832651B9-5163-DOC001,1,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-30 08:11:00,Passing Parameter,0,,1,118.0.0.0,Chrome
C8F39F61-4E3F-164E1194-547F,164E1194-547F-USERID001,832651B9-5163-DOC001,1,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-30 08:38:00,Passing Parameter,0,,1,118.0.0.0,Chrome
3A4C13D8-09BD-ED35D891-1BCF,ED35D891-1BCF-USERID002,C352DBF7-B1AA-DOC002,2,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-30 08:49:00,Passing Parameter,0,,1,118.0.0.0,Chrome
3C07F23A-DFB4-13650ABA-51BF,13650ABA-51BF-USERID002,4FD35B0F-F64B-DOC002,2,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Desktop,2023-10-30 09:11:00,Passing Parameter,0,,1,109.0.0.0,Chrome
9CFAF428-6573-13650ABA-51BF,13650ABA-51BF-USERID002,4FD35B0F-F64B-DOC002,2,,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Desktop,2023-10-30 09:14:00,Passing Parameter,0,,1,109.0.0.0,Chrome
A6B4DFCC-B7D8-4990E30A-0B91,4990E30A-0B91-USERID001,723A46C8-FFE0-DOC001,1,,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Desktop,2023-10-30 09:27:00,Passing Parameter,0,,1,118,Firefox
5384F5FB-1F2B-E93CDF85-688A,E93CDF85-688A-USERID001,4E19E279-9874-DOC001,1,,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Desktop,2023-10-30 09:37:00,Passing Parameter,0,,1,109.0.0.0,Chrome
17260B42-F7F9-77EC4E94-AD34,77EC4E94-AD34-USERID001,4E19E279-9874-DOC001,1,,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Desktop,2023-10-30 09:41:00,Passing Parameter,0,,1,118.0.0.0,Chrome
